firm_name,fund_name,fund_id,country,fund_type,gross,num_owners
314119,SPEEDUP,DISRUPTIVE AI L.P.,805-7594391471,Cayman Islands,venture capital fund,71235231,86
314119,SPEEDUP,DISRUPTIVE TECHNOLOGIES OPPORTUNITY FUND L.P.,805-8588985280,Cayman Islands,venture capital fund,14876095,11
314119,SPEEDUP,DISRUPTIVE TECHNOLOGIES II L.P,805-3240374516,Cayman Islands,venture capital fund,34448423,28
314119,SPEEDUP,DISRUPTIVE AI SPV I LP,805-2165499345,Israel,venture capital fund,7200000,19
314119,SPEEDUP,DISRUPTIVE TECHNOLOGIES III L.P.,805-6614117334,Cayman Islands,venture capital fund,1424087,2
314119,SPEEDUP,DISRUPTIVE TECHNOLOGIES L.P.,805-7041971403,Cayman Islands,venture capital fund,103468214,53
314119,SPEEDUP,DISRUPTIVE TECHNOLOGIES I L.P.,805-5354831645,Cayman Islands,venture capital fund,33060,2
284959,"HIGHGEAR VENTURES MANAGEMENT, LLC","HIGHGEAR VENTURES SECONDARY I, LP",805-9862711525,Delaware,Other,337021,21
284959,"HIGHGEAR VENTURES MANAGEMENT, LLC",HIGHGEAR VENTURES SPV-I LLC,805-5547914042,Delaware,Other,2830303,2
284959,"HIGHGEAR VENTURES MANAGEMENT, LLC","HIGHGEAR VENTURES SECONDARY II, LP",805-3720892373,Delaware,Other,17260098,98
284959,"HIGHGEAR VENTURES MANAGEMENT, LLC","HIGHGEAR VENTURES SECONDARY III, LP",805-9042292795,Delaware,private equity fund,38424377,65
300956,BLACKBOX GROUP LLC,"BLACKBOX MASTER FUND, LP",805-3447882133,Delaware,hedge fund,22500000,23
309765,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP VENTURES I, L.P.",805-4288730252,Delaware,venture capital fund,238604181,84
309765,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP VENTURES SPV S2, LLC",805-9131814070,Delaware,venture capital fund,645424,5
309765,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP VENTURES SPV M, LLC",805-7953383272,Delaware,venture capital fund,8075000,23
309765,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP VENTURES SPV S, L.L.C.",805-4091134169,Delaware,venture capital fund,24540143,41
310214,468 MANAGEMENT GMBH,468 CAPITAL GMBH & CO. KG,805-3495658259,Germany,venture capital fund,155021462,75
310214,468 MANAGEMENT GMBH,468 SCALE GMBH & CO. KG,805-5822795186,Germany,venture capital fund,33004,4
310214,468 MANAGEMENT GMBH,468 CAPITAL II GMBH & CO. KG,805-4299708479,Germany,venture capital fund,135121375,124
310214,468 MANAGEMENT GMBH,468 SPV I GMBH & CO. KG,805-4819553649,Germany,venture capital fund,4672387,23
310214,468 MANAGEMENT GMBH,468 SPV R 2021 GMBH & CO. KG,805-2775382058,Germany,venture capital fund,11323231,8
310214,468 MANAGEMENT GMBH,468 GLOBAL OPPORTUNITIES GMBH & CO. KG,805-2964020287,Germany,venture capital fund,14052966,32
330039,"VIOLA GROWTH INVESTMENTS MANAGEMENT 4, LIMITED PARTNERSHIP","VIOLA GROWTH IV, L.P.",805-2443624787,Cayman Islands,private equity fund,176424000,50
313308,TRILL IMPACT ADVISORY GMBH,TRILL IMPACT (NO. 1) SCSP,805-1176287526,Luxembourg,private equity fund,781226465,38
313308,TRILL IMPACT ADVISORY GMBH,TRILL IMPACT (NO. 2) SCSP,805-2459518801,Luxembourg,private equity fund,153017885,10
165345,MMF CAPITAL MANAGEMENT V LLC,"MIDWEST MEZZANINE FUND V SBIC, LP",805-9675276554,Delaware,private equity fund,58977244,26
165345,MMF CAPITAL MANAGEMENT V LLC,"MIDWEST MEZZANINE FUND V, L.P.",805-2207145655,Delaware,private equity fund,18943599,8
165345,MMF CAPITAL MANAGEMENT V LLC,"MIDWEST MEZZANINE FUND VI SBIC, LP",805-6910844325,Delaware,private equity fund,264454978,43
